start	end	text
0	1920	Small beans.
1920	3720	Big beans.
3720	5760	Spicy beans.
5760	7400	Creamy beans.
7400	11440	Those are just a few of the kinds of beans that I love.
11440	15760	But you know which beans I love the most, do ya?
15760	16840	It's y'all.
16840	19960	It's your bean connoisseur, Wolf the Dog,
19960	24960	cooking up a bean stew with you, live from 694.2 PTBP.
25960	30680	Take your fart medicine, it's about to get gassy.
30680	34280	This week's Howlin' with Wolf is from Dimitri the Bear,
34280	37720	who tweeted about the show and tagged that pretending pod.
37720	41800	A very simple, effective, and cherished action.
41800	46260	They write, dearest Elaine, this one goes out to you.
46260	49460	You've been my friend since longer than the time
49460	53800	when gas is swirled and supernovae shined.
53800	57240	You shared with me your feelings, thoughts, and toys,
57240	60880	and readily endured with me the joys
60880	64160	of Wolf the Dog and our contention boys.
64160	67480	Wow, Dimitri the Bear, it's nice to finally meet
67480	70500	another insert name, the animal.
70500	73480	We may be few, but we are powerful.
73480	74320	Ow!
75260	78640	Also, good poem or whatever.
78640	82940	But as a rancid poet, I am simply more clever.
82940	86380	Whenever you write to me again, you better think twice,
86380	88600	because when you'll step into Wolf,
88600	91300	buddy, you're on thin ice.
91300	95360	But I'll allow you just this once to shift the blame,
95360	97480	for I will not embarrass you,
97480	101160	not in front of your dearest Elaine.
101160	103180	This one here is another recap,
103180	106420	a map of the chaps madcap mishaps.
106420	111180	Snap to or I'll slap you, no nap, no cap.
111220	114500	Strap in and lap it up before we wrap it up.
114500	116700	It's kudzu with no backbone.
146700	151700	After the murder of both his brother, Ferguson Beans,
152260	155340	and his brother's partner's mother, Joan Robin,
155340	159160	Keith Vigna, back at Hotel Motel, dreamt
159160	161260	he stood at a bar, empty,
161260	163860	except for himself and the bartender.
163860	167220	The bar was run down, smelled of piss and vomit,
167220	171420	and looked to have been vacated quickly by other customers.
171420	173840	The man behind the bar was dressed in clothing
173840	178840	from the late 1800s, and spoke fearfully to Keith,
179020	183760	asking if he wanted answers or maybe cocaine.
183760	186040	Keith asked for the former,
186040	188480	as he'd had enough of the latter.
188480	190720	The saloon-style door swung open,
190720	194560	allowing the entrance of a woman Keith recognized.
194560	197240	In her hands was a massive trunk,
197240	200440	which she heaved onto the bar and opened.
200440	203400	Inside was the camera red light lit,
203400	205760	the gun also red light lit,
205760	209160	and the radio green light lit.
209160	211120	Seeing this, Keith told the woman
211120	214080	the camera wouldn't be ready until one,
214080	217200	and knowing the other two take a few days,
