start	end	text
0	3280	Howdy, my friends and foes.
3280	6880	It's the titan of Tennessee, Wolf the dog.
6880	11420	And I am coming at you live from Groversville?
11420	14060	Now how the fuck did I end up here?
14060	15440	Wolf, dammit.
15440	18200	I guess I'll still do my best to give y'all
18200	23200	a wonderful show here at 694.2 PTBP.
23940	26460	This barn smells like shit,
26460	29080	but not that good kind of stank.
29080	31440	That bad stank.
31440	35240	Something weird is going on around here.
35240	37840	Anyway, this week's Howlin' with Wolf
37840	41240	is from at necro wang on Twitter,
41240	45320	who tweeted about the show and tagged at pretending pod,
45320	47740	which is a rad thing to do regardless
47740	51280	of if you have a necro wang, a bio wang,
51280	55680	or any sort of wang in between, they write.
55680	57660	Hello, Wolf the dog.
57660	59300	How are you today?
59300	63260	It's a true honor for you to read my words on your show.
63260	65700	May I take this moment to speak with you,
65700	69300	oh magnificent beast of the festering heap
69300	73620	about the king in yellow and his most radiant church.
73620	75960	Our king has feelings, Wolf.
75960	80180	He's happy when we're happy and sad when we're suffering.
80180	84060	He wants us to talk to him through prayer and through plays.
84060	87500	And he wants to talk back and stand before us.
88340	92340	So, my sewer surfing and delightfully grimy friend,
92340	95100	may I invite you to our king's gala,
95100	99260	yours truly, servant of our king in yellow,
99260	104260	Layered Christopher at necro wang on Twitter.
104300	108380	Well, Lord Christopher, servant of the king in yellow,
108380	111380	I'm sorry to say that my heart and soul
111380	113660	already belong to another.
113660	116480	They provide warmth when I am clammy.
116480	119960	They provide the densest of creams.
119960	123560	They devour those who would speak ill of them.
123560	126600	And they got a real cool radio show.
126600	129280	It's me, I'm my own god.
129280	131000	Suck it, king in yellow.
131000	133860	It's wolf in Greece for me, baby.
133860	135600	And hey, guess what?
135600	137240	If you want to write up something
137240	141920	for your Tennessean wolf to how, it's real simple.
141920	146160	Just tag at pretending pod on Twitter or Instagram.
146680	148200	It's as easy as that.
148200	153120	Or you can write up a five star review on Apple podcast
153120	158120	and send a screenshot to pretendingpod at gmail.com.
158440	160280	Easy, pleasey.
160280	164880	Or you can tag us on Facebook, I guess, if you have to.
164880	167460	And if you got sloppy wet mitts like me
167460	171300	and you hate trying to type handles on the internet,
171300	174160	release those worries, babies.
174160	177660	I put links to every single succulent smidgen
177660	182000	of our saucy socials in the super secret show notes.
182000	184280	Bet you can't find them.
184280	186720	Bet you can't click on them.
