start	end	text
0	6040	Welcome, my flock. It's your pastor, Wolf the Dog, and I'm here to give you a sermon
6040	11960	about the merits of garbage collection. We are the only trash-based ministry that will
11960	21680	broadcast you all live from 694.2 PTBP. I pray for y'all every day, hoping that a bounty
21680	29560	of trash will fill your bellies, as it always does mine. For some reason, my producer keeps
29600	36440	yapping on about how it's December the 6th or something, and it's about, like, 4 PM or
36440	42240	something thereabouts. I don't know. I just wish he'd stop yammering.
42240	48980	Time means nothing in the house of the Lord. Wolf bless you, my children, and Wolf bless
48980	54560	this mess. It's a new Howlin' with Wolf. This week's Howlin' with Wolf comes from
54560	61360	AtMeganIsANerd, who tweeted about the show way back in September. She writes,
61360	68060	Dear Mr. Wolf, While my fellow agents and I were investigating some issues in contention,
68060	73600	we became trapped in some kind of temporal anomaly. My colleagues have been scattered
73600	80280	to the four winds of time, and your broadcast seems to be the only constant. To Chad, Drew,
80280	85960	and Sabrina, if you can hear this, I hope you catch up to my timeline soon so we can
85960	91960	properly theorize about what the hell is going on here. Looking forward to catching your
91960	96560	house with a full pack soon, Mr. Wolf. From Megan.
96560	104840	Well, Megan, my voice has been known to permeate through time and space. I beckon, but only
104840	112440	a scant few hear the call. I know Chad, Drew, and Sabrina will hear your message, because
112440	117640	any chosen will hear a message when I so command it of the cosmos.
117640	124000	Haha, but anyway, I do truly hope your friends find you instead of being caught in some sort
124000	129240	of horrible alternate timeline from which there is no return. Remember, if you want
129240	134360	to write up something for your wolf to hout, tag at PretendingPod on Instagram or Twitter.
134360	139600	I've pretended to be people on Facebook. Fuck you, Zuckmarkerberg. Or write a five-star
139600	146620	review on iTunes and email us at PretendingPod at Gmail.com. Of course, you can also support
146620	153240	the show financially over on Patreon.com slash PretendingPod. Five bucks a month instantly
153240	160680	unlocks access to seven exclusive bonus episodes. The most recent one is a Q&A episode.
160680	166200	Zach discusses his campaign notes. Justin reveals his relationship with me, Wolf the
166200	171780	Dog, but I don't know who that motherfucker is, y'all. Luke and Thomas come up with names
171780	178280	for Contention's Army Surplus store, and Joe tells the story of a legitimate alien sighting.
178280	184940	So legitimate, in fact, it could be up next in the news. The perhaps second iterations
184940	190600	of the formal Contention police officers got an address and phone number for the target.
190600	198440	The co-founder and current majority shareholder of BarCorp, Bruce Robin. Maggie Cook tossed
198440	205120	them a folder full of information about BarCorp, including a connection to Jesus Christ Ministries,
205120	210080	the $2 billion projected gross profits for next year, and the listings for the other
210080	216480	three entities with the highest stake in BarCorp. Stacey Beans, Francis Beans, and The Mill
216480	222360	on the other side of the city, and then she burned John Lee Pettymore and dipped. Our
222360	228880	terrible protagonist went to the downtown brownstone of Bruce Robin, a once respectable
228880	243820	home and current shithole. The number 811-818-9520-1311-811 fuck. I feel like a piece of chicken that
243820	251600	wasn't properly tenderized, brined, and marinated, and no one wants to eat me, not even the dog.
251600	258160	Wolf spit me out. I'm swept up, thrown in the trash. I am nothing. At the landfill,
258160	263520	I land on a plastic bag named Phil. She's sweet, but I can't provide nutrients to a
263520	272440	fucking piece of plastic. Can I, Phyllis Theodora Festerbone III? Fucking no, I cannot. But
272440	277840	what I can do is drop the beat that makes you bleat. It's kudzu with no backbone.
288160	313160	Oh man. Another week. Another doll hair? You're not gonna trick me with that again. Oh my
313160	319880	gosh, guys. Wait, if this is episode 56, I think it's our year anniversary. Really? Or maybe last
319880	326320	week was. So the date that we released the first three... December 2nd, I believe. So I looked it
326320	333440	up. My podcast app says November 18th. Yes, so the first episode got released because I submitted it
333440	338560	to iTunes for approval, and then they just uploaded it as soon as they got approved. So then we did
338800	343720	our official launch later. Okay, I'm glad that you said that because it was incongruous in my brain
343720	349680	that I was sure that we had our launch in December. Yeah. Okay, that makes sense now. Yeah, yeah. I was
349680	354080	actually thinking about this. Do you want to put out a special one-year episode where we just party
354080	359960	on Mike? Mike party. Mike party. Who's Mike party? You are now. I know that guy. What was Mike party
359960	367520	sound like, Joe? He's Mike party! Mike party here. Hope you're all having a good time. I brought
367560	375680	cocaine. So you guys are making your way to Bar Corp, and you're driving through the city,
375680	381800	which again, just this like sickly thickness hanging in the air, and you see these flowers
381800	386440	everywhere. I want to touch it. Oh, you touch the sickness? Actually, you put your hand outside the
386440	390880	window and you feel like physical resistance when you put it out, but it's probably just the wind.
390880	399360	Physics roll, please. None of you have a science, I would assume. You don't strike me as characters
399360	405920	who would be good at science. I have a 0% in it. Same. I bet John Lee Pettymore would have been
405920	411400	good at science, but he definitely can't roll for it. Well, he was like, there was one teacher who
411400	416320	tried to reach out to him in like ninth grade. Biology, man. Yeah. He said, I just want to
416320	420960	reach cars. Mr. Yeah. Mr. Hawkins just couldn't get through. John, at this point in your life,
420960	426200	you're going to go in one of two different directions. You can't just keep turning left
426200	430960	all the time. I was thinking more of like a robot voice since you said Hawkins. John,
430960	438360	like there's two paths that you can take at this point. I'm such an idiot. And nevermind.
438360	447680	I don't get it. You can't just turn left your whole life. You are an idiot. Jesus. Yeah. Luke
447680	453320	Hawkins is the town from Stranger Things. I was trying to go there. I was like, I can't think of
453320	461760	a Stranger Things. I love you. You're the person who thinks his name is Stephen Hawkins. I realized
461760	467600	as soon as I've said it twice that I've got no response from the room. I was like, fuck,
467600	476960	I am stupid. Hawkins. Hawkins. Hawkins. Don't you guys get my joke? Hawkins. Oh my God. Hear every
476960	485600	dumb ass I went to high school with. I'm method acting Keith. Maybe too much. Yeah, you've been
485600	498480	doing that your whole life. Can Keith Vigna do a pull up? Sure. Yeah. No. Keith Vigna. My
498480	505840	strength's 55. Oh shit. That's not great. That's below average. That's above average. Yeah. It's
