start	end	text
0	8160	Greetings, friends of all shapes and sizes, especially those that are octagonally inclined.
8160	13200	This is Wolf from the past, hitting you in the present, so that you can have a brighter
13200	14200	future.
14200	23440	And the future is always looking bright here on 694.2 PTBP, contentions only time travel
23440	25560	and pirate radio show.
25560	31800	Squares need not apply, because only the dopest geometry is invited to listen in on
31800	34240	this week's Howlin' with Wolf.
34240	40720	This week's Howlin' with Wolf comes from Matt in Singapore, aka at taffysaint, who tweeted
40720	44020	about the show and tagged that pretending pod.
44020	45020	They write,
45020	51000	Wolf, since the advent of digital radio and interwebs, we've been able to tap into your
51000	55440	dulcet-toned broadcast all the way out here in Singapore.
55440	61760	The trouble in contention sounds troubling, but I am sure what people remain are pleased
61760	65960	that you are there to recap the tragedy on a weekly basis.
65960	72160	I know when I am facing supernatural terrors from beyond time and space, it's useful to
72160	79080	have someone remind me what just happened, just in case there is a tentacle or proboscis
79080	81040	that escaped my notice.
81040	85960	Anyway, impending apocalypse aside, I hope all is well with you.
85960	91200	Your broadcasts have inspired me to seek a group of plucky idiots of my own out here
91200	97840	to help, ineptly, continue the fight for all that is right in the world, or at least some
97840	99720	unclaimed drug money.
99720	101520	Either or is fine.
101520	104880	Well, thanks for writin', Matt in Singapore.
104880	109560	All is well with your number one slime puppy, Wolf the dog.
109560	115080	I'm always gonna be here to remind y'all about all them tentacles that can creep up
115080	116080	on ya.
116080	117440	Y'all like hentai?
117440	119000	I certainly might.
119000	124760	But anyway, I'm glad to hear you are takin' up arms with a new crew out of the blue.
124760	127440	I got a couple tips for y'all.
127440	135120	Make sure you get eight hours of sleep, focus on work-life balance, and eat as much trash
135120	136960	meat as you can.
136960	142280	Remember, if you wanna write up somethin' for your wolf to how, tag at PretendingPod
142280	148200	on Instagram or Twitter, tag PretendingToBePeople on Facebook, or write a five-star review on
148200	152440	iTunes and email us at PretendingPod at Gmail.com.
152440	156400	And remember to tell your IRL friends about this show, too.
156400	160240	Fuck Mark Zuckerberg, reptilian-ass powerlicker.
160240	167000	Of course, you can also support the show financially over on Patreon.com slash PretendingPod.
167000	173400	Subscribe for just $5 a month and instantly access five exclusive bonus episodes.
173400	178200	The sixth one comes out this week, and it's straight up some BTS action.
178200	186280	It may be the sixth Patreon exclusive episode, but it's our session zero for this whole campaign,
186280	191000	in which we discuss PC creation and fleshed out the town of contention.
191000	196080	Speaking of this campaign, what also has a shitload of gas in the tank and isn't slowin'
196080	198220	down anytime soon?
198220	201160	It's the news.
201160	208360	Last time, Jeremy Pettymore pacified a tied-up, bloody, muddy, naked man with teeny meat cylinders.
208360	213520	Ash took off back down the trail to tell Buzz, the ranger from the state, they had found
213520	215640	one of the missing persons.
215680	221760	Ken Krinklehoff met up with Jeremy after not running into Ash on the trail, and he takes
221760	224960	issue with Jeremy's new friend Rusty.
224960	233200	After being spooked by Woodrow, Judy Krinklehoff, Sharon Shadow Berryman, and Liz Lonklin answered
233200	235880	the ranger from state's questions.
235880	241480	Judy doused her arms in hand sanitizer and is deeply worried about her mother, Krista
241480	246240	Krinklehoff's minivan in the parking lot of the contention woods.
246240	253760	Liz tried to, down low, too slow, Woodrow's hand sanitizer squirt and failed, while Shadow
253760	259360	decided hand sanitizer would skewer her connection with the earth and the moon and such.
