start	end	text
0	8600	Hello people in this airplane we call life, it's your captain speaking Wolf the dog, and
8600	13880	I'm here to airdrop some news on y'all while flying drunk.
13880	22880	We are taking over the skies here at 694.2 PTBP the sky kingdoms newest and best and
22880	26180	only radio show.
26180	33300	Look out skybound geese I'm hungry for bird bones and these propellers are awfully sharp.
33300	39180	I've got an announcement here from my producer it seems that a few days ago on the first
39180	46060	of the month the third patreon exclusive episode dropped for all of our honorary police officers.
46060	52900	Joe Luke Taylor Thomas and Zach got together and played a disgusting and delicious game
52900	55280	of the end of the world.
55280	60980	You can hear that as well as our first two bonus episodes, a Q&A session, and a game
60980	66460	of everyone is john by following the link to our patreon in the show notes or going
66460	73860	to patreon.com slash pretending pod and becoming an honorary police officer by pledging 5 bucks
73860	77100	a month to keep the show alive.
77100	82860	Honey might help wolf's bowels but honey right in to help wolf's howls it's howling
82860	84660	with wolf.
84660	91180	This week's howling with wolf comes from at the underdash millennial c who tagged at pretending
91180	97840	pod in an instagram story y'all know how tickled I get when you take time out of your day to
97840	100060	share the show with your friends.
100060	101940	At the millennial c he writes
130060	136500	It dumb, so much to do, so much to see, so what's wrong with taking the back streets,
136500	146220	you never know if you don't go, you never shine if you don't glow, y'all wolf rarely
146220	151820	lets his emotions get the best of him but when someone takes the time to write up something
151820	159340	so personal and meaningful it just... stop it wolf, stop licking up my tears, remember
159340	164580	if you wanna write up something for your wolf to howl tag at pretending pod on instagram
164580	170260	or twitter tag pretending to be people on facebook or write a 5 star review and email
170260	177220	us at pretendingpod at gmail dot com fuck all that dumb social media bullshit after
177220	184180	all it only dictates whether wolf gets to eat trash or has to eat trash and wolf has
184180	189060	a distaste for mistakes that dicks fake to get milkshakes.
189060	190900	It's time for the news
190900	197200	Last time, Clark Bishop, John Lee Pettymore, and Keith Vigna came to the dark mausoleum
197200	201220	of their former co-worker Ari Manstein.
201220	206500	They all had four names burned into their skin, Marvin on their chests, Maggie on the
206500	212580	bottom of their left foot, Drew on the backs, and Tilly on their dominant palms.
212580	217460	Keith Vigna called the number left by Agent Kennedy and he answered a few questions from
217460	219660	an automated voice.
219660	223660	John drove the three of them in Keith's cruiser to Jim Cook's house.
223660	228260	In the neighborhood, every light pole was fitted with a sign warning residents about
228260	230060	Clark Bishop.
230060	235700	In Jim Cook's house, Clark showed his partners the book he found and slowly realized he might
235700	241060	be the overseer that Maggie Cook and the Circle of Knowledge is intent on bringing back.
241060	247340	A slow drip of vodka from the ceiling led the three sort of officers upstairs to search
247380	249300	for a room without a door.
249300	254420	Keith knocked on the wall to avoid kicking a stud and then put his foot right through
254420	256700	the wall in the hallway.
256700	261620	It is December 6th, 3pm, and Keith Vigna has one foot in.
261620	263660	I've got one foot out.
263660	273420	And shaking it all about is kudzu with no backbone.
277340	305500	It's all really funny to me.
305500	307740	There's some really good ones, yeah.
307740	311620	I saw there's like a Zuckerberg one that was like, not verbatim, but basically it's like
