start	end	text
0	7960	This is yet another introduction to the radio show known as 694.2 PTBP,
7960	15720	the galaxy's only radio station that is technically also maybe a toxic waste site.
15720	21480	You all know me, and if you don't, my name's DJ Wolf the dog,
21480	29200	here to howl out some things at y'all before something else starts happening right after I stop talking.
29200	34360	Have I ever stuck around even one second after my segment ends?
34360	36520	Damn, you know I haven't.
36520	42840	I clock out and skitter as fast as my limbs can skitter out to the municipal dump.
42840	46200	It's all you can eat every day, baby.
46200	51400	And speaking of howling, and skittering, and me, Wolf the dog,
51400	55680	it's time to skitter on over to a new howling with Wolf.
55720	58280	Howl
58280	64480	This show's howling with Wolf is from Gwenivere in Greenville, North Carolina,
64480	68680	who tweeted about the show and tagged at Pretending Pod.
68680	73480	What's that? You haven't tweeted about the show and tagged at Pretending Pod?
73480	75400	That's so weird.
75400	79840	You should be more like Gwenivere in Greenville, North Carolina,
79840	83760	and tweet about the show and tag at Pretending Pod.
83800	87200	Gwenivere in Greenville, North Carolina, writes,
87200	89120	Greetings, Wolf.
89120	96000	I'm writing you from some weird liminal dimension I stumbled into while cleaning carpets in some old church.
96000	98400	Overall, it isn't too bad.
98400	103880	I just wish they had more food than these strange bits of jerky with hair on them,
103880	107400	and wine that tastes more like pennies than wine.
107400	111960	I want to give a shout out to my best friend Ash and girlfriend Kaylee,
111960	115520	as well as everyone who works on this podcast.
115520	121120	Y'all have got me through more hard times than I can count and made me laugh just as many.
121120	122120	Damn.
122120	129120	Well, I hope you can turn that liminal dimension into a liminalade dimension, you know what I'm saying?
129120	133560	And if you could, uh, email me some of them jerky bits,
133560	140760	I would be mighty delighted to partake in whatever or whoever it is.
140760	147400	Now, if you want to write up something for your wolf to howl, tag at Pretending Pod on Twitter,
147400	152000	fuck the musk, tag at Pretending Pod on Instagram, fuck the zuck,
152000	156680	or tag pretending to be people on Facebook, fuck the zuck double time.
156680	161040	Or write us up a five-star review on the podcast app of your choice,
161040	164800	and make sure it gets in front of my dang eyeballs.
164800	167800	And fuck whoever owns podcasts.
167840	172920	And if you happen to have forgotten, the links are in the show notes.
172920	173920	That's right.
173920	179480	Whether you want to give us money in exchange for bonus content on Patreon,
179480	182680	or cop some new drip at the merch store,
182680	187400	or join the listener communities on Discord and Reddit,
187400	194600	or vibe to a selection of tracks from the PTBPOST on YouTube,
194600	198240	you can find those links in the show notes.
198240	203880	And now, for our top ten shortest news segments, it's the news.
203880	207440	Last time, the gang went to the Zeitgeist,
207440	211480	the abandoned and very unimpressive city Space Needle,
211480	214240	and then Dr. Brock Hargrave,
214240	216840	no, no way, this can't be right,
216840	222240	says here, Dr. Hargrave brought a couple of sedated folks on leashes
222280	225880	up to the spot he'd been digging, smoked some meth,
225880	229840	plunged a syringe in the dude, stuck a finger in his own ear
229840	232120	and then promptly into his own mouth,
232120	235440	and then that very zonked-out dude
235440	240440	just climbed into the abdomen of Dr. Brock Hargrave
240440	242520	and disappeared?
242520	246320	Also making a disappearance for the final time,
246320	251320	it's Hudson Freeman with muscles all sprees.
282240	312040	You are now listening to the final episode
312040	315680	of our four-episode series, Fuck Me.
315680	317400	Oh, do you want to take that one again?
317400	319320	Do you want to do that?
319320	320640	What a gentleman.
320640	323920	Holy cow farms, leave it in.
323920	327960	Oh, right, no, we now know that burps are not only important
327960	330080	but life-changing to our listeners,
330080	331880	so we got to leave them in.
331880	334120	Also, we're sponsored by Aldi and those burps,
334120	338680	brought to you by Aldi Generic Sparkling Water.
338680	343520	It's Bell V Sparkling Water Tangerine by Pure Aqua.
343520	346080	Hey, Zach, I'm sorry, but you have a dozen cases of those
346080	348000	in your house and you don't know what the fuck it's called
348000	349160	without looking at the can.
349160	353160	It's because you have the koozie.
353160	355880	That's exactly right, I'm covering it up constantly.
355880	357520	24-7 koozied up.
357520	359200	And he knows how to read, for sure.
359200	360920	I just think it's weird to not use a koozie
360920	364360	and touch a cold can, like that's fucked up to me.
365760	368480	I have so many koozies in a drawer of my house
369120	371120	and I've never once used any of them.
371120	375000	Same, Zach and his wife have the same drawer
