start	end	text
0	3800	Introductions are bound to confound.
3800	8700	Using wet sounds to turn frowns upside down.
8700	13060	It is me, Wolf the Dog, DJ Extraordinaire.
13060	18200	Hoppin' on the sound waves, leavin' my soul exposed bare.
18200	23260	Radio show is 694.2 PTBP.
23260	27360	And now, excuse me for I have to go pee-pee.
27360	28860	The- the- the end.
28860	33060	I hope y'all enjoyed that poem that I composed.
33060	38100	I spent almost as much time as I do on the show notes with that one.
38100	44160	And speaking of show notes, someone done went and sent a note to the show.
44160	49460	This Howlin' with Wolf is from Zach from the show that comes on after this.
49460	55700	He sent in this message and said it's some sort of contest drawing announcement of winners.
55700	62800	I guess he finally got around to tagging at Pretending Pod on his personal Instagram story.
62800	66300	Wow, get a load of this fuckin' guy, huh?
66300	69200	Alright, here he is, I- I guess.
69200	74300	What's up, I'm Zach. Thanks for that incredible introduction, Mr. Wolf the Dog.
74300	78900	And right you are, I'm here to announce the winners of the drawing slash contest.
78900	81200	And, first off...
81700	84900	Mwahahahahaha!
84900	90600	The season's fan art contest slash drawing had some buckwild entries in all sorts of different mediums.
90600	96300	We were- we were all completely blown away by all of your creativity and your talent.
96300	99400	So, each and every one of you, thank you so much for entering.
99400	100900	This is so incredible.
100900	104300	Now, let's get to the winners of merch stuff.
104300	107800	We're gonna start with the drawing, which is random.
107800	113900	So, I'm pulling these names out of a digital hat, and the first winner is...
113900	115300	Storm Clouds.
115300	117600	Storm Clouds, you are the first winner.
117600	119700	And the second winner is...
119700	122400	GrimlinDude420.
122400	132100	So, big ol' congrats to Storm Clouds and GrimlinDude420 for your luck and your sweet, sweet victory.
132100	134200	You each get one merch thing.
134200	139700	And now, for the contest portion of the drawing slash contest.
139700	142600	We've got a little surprise for ya.
142600	147800	There were just too many- there were too many jaw-dropping entries this time.
147800	151200	Like, a bunch of wildly weird and cool shit.
151200	155700	So, we're gonna name a couple runners-up.
155700	158400	And you'll both also get one merch thing.
158400	163900	So, in no particular order, the runners-up are...
163900	174000	Antique__Resident__124 for a piece of physical art titled Play Ball, which they made out of clay.
174000	182300	It's like a hand that reaches out for a ball that's in a squeamish situation, and it is fantastic.
182300	184700	Go check it out if you haven't seen it yet.
184700	187500	And the other runner-up is...
